start_station_name,date,hour,trip_count,PRCP,SNOW,TAVG,extreme_weather,event_Basketball,event_Comedy,event_Concert,event_Fair,event_Hockey,day_of_week,is_weekend,week_of_year,month
Central Square at Mass Ave / Essex St,2024-01-04,16,9.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,17,21.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,18,9.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,19,8.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,20,7.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,21,3.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,22,3.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-04,23,3.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Thursday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,1,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,2,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,3,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,4,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,5,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,6,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,7,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,8,4.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,9,6.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,10,2.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
Central Square at Mass Ave / Essex St,2024-01-05,11,4.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Friday,False,1,January
